Feature	Importance
VW.gap2	1.000000
alphaticr.alphaticr.aromatic	1.000000
PE.gap4	1.000000
SK.gap3	1.000000
uncharger.uncharger.gap3	1.000000
YE	1.000000
NW.gap4	1.000000
RV	1.000000
SN.gap3	1.000000
NS.gap4	1.000000
LN.gap2	1.000000
I_D	1.000000
NN.gap4	1.000000
NM.gap4	1.000000
TI.gap3	1.000000
TK.gap3	1.000000
alphaticr.aromatic.uncharger	1.000000
VF.gap3	1.000000
aromatic.alphaticr.gap0	1.000000
aromatic.postivecharger.gap0	1.000000
IQ.gap4	1.000000
IP.gap4	1.000000
NS.gap2	1.000000
VD.gap3	1.000000
aromatic.negativecharger.gap0	1.000000
IK.gap4	1.000000
TW.gap2	1.000000
aromatic.uncharger.gap0	1.000000
IF.gap4	1.000000
LM.gap4	1.000000
postivecharger.alphaticr.gap0	1.000000
ID.gap4	1.000000
postivecharger.aromatic.gap0	1.000000
IA.gap4	1.000000
TV.gap2	1.000000
aromatic.negativecharger.gap3	1.000000
SG-feat	1.000000
HT.gap4	1.000000
SH-feat	1.000000
HR.gap4	1.000000
alphaticr.uncharger.gap0	1.000000
NQ.gap2	1.000000
KD.gap4	1.000000
VD.gap2	1.000000
LL.gap4	1.000000
YS	1.000000
MV.gap2	1.000000
LG.gap4	1.000000
TM.gap3	1.000000
LE.gap4	1.000000
MY.gap2	1.000000
TP.gap3	1.000000
negativecharger.alphaticr.gap3	1.000000
postivecharger.negativecharger.gap3	1.000000
YY	1.000000
KR.gap4	1.000000
TV.gap3	1.000000
aromatic	1.000000
NI.gap2	1.000000
NK.gap2	1.000000
KK.gap4	1.000000
NL.gap2	1.000000
RN-feat	1.000000
KG.gap4	1.000000
alphaticr.postivecharger.gap0	1.000000
AF.gap3	1.000000
YD-feat	1.000000
SF.gap5	1.000000
KG.gap3	1.000000
TV.gap1	1.000000
FK.gap3	1.000000
