Feature	Importance
g6.g2.g6	0.000332
T_Y	0.000332
g3.g6.g3	0.000331
g6.g1.g4	0.000330
g3.g2.g6	0.000328
Q_T	0.000326
L_P	0.000325
MR-feat	0.000324
TC-feat	0.000321
g5.g6.g5	0.000321
NT-feat	0.000320
H_K	0.000317
g2.g4.g1	0.000316
GC-feat	0.000316
g4.g3.g1	0.000315
I_M	0.000315
RE-feat	0.000315
HR-feat	0.000315
g5.g2.g4	0.000314
g6.g5.g5	0.000312
Y_K	0.000312
L_K	0.000311
HP-feat	0.000311
D_K	0.000310
GF-feat	0.000310
S_T	0.000310
I_I	0.000310
HQ-feat	0.000310
g6.g5.g3	0.000308
g1.g6.g2	0.000307
CY-feat	0.000306
NF-feat	0.000306
g6.g4.g5	0.000305
uncharger.negativecharger.postivecharger	0.000303
W_E	0.000303
g2.g4.g6	0.000302
g3.g3.g4	0.000302
g6.g6.g5	0.000299
g6.g2.g3	0.000299
Q_L	0.000299
NN-feat	0.000297
g4.g2.g1	0.000297
YK-feat	0.000297
negativecharger.postivecharger.aromatic	0.000297
g7.g3.g1	0.000296
WN-feat	0.000296
G_R	0.000294
g1.g3.g4	0.000294
DI-feat	0.000294
g3.g2.g7	0.000294
ME-feat	0.000294
I_N	0.000294
g1.g4.g5	0.000293
S_I	0.000293
IQ-feat	0.000292
QY-feat	0.000292
uncharger.uncharger.uncharger	0.000292
S_V	0.000292
EM-feat	0.000292
g5.g1.g5	0.000290
I_G	0.000290
H_A	0.000290
g6.g3.g5	0.000290
M_F	0.000290
g6.g3.g6	0.000289
E_Q	0.000288
W_Q	0.000288
g7.g5.g5	0.000288
YH-feat	0.000287
P_M	0.000287
postivecharger.aromatic.postivecharger	0.000287
QE-feat	0.000287
A_M	0.000286
S_M	0.000286
H_V	0.000286
YA-feat	0.000286
PR-feat	0.000286
NS-feat	0.000285
PT-feat	0.000285
Y_A	0.000285
V_L	0.000285
g5.g1.g7	0.000284
KW-feat	0.000283
HK-feat	0.000281
QF-feat	0.000280
P_W	0.000280
g3.g5.g6	0.000280
K_T	0.000280
LM-feat	0.000279
E_K	0.000278
g5.g3.g5	0.000278
MG-feat	0.000278
FA-feat	0.000278
EF-feat	0.000277
WM-feat	0.000276
E_I	0.000273
g1.g7.g6	0.000273
IC-feat	0.000272
RH-feat	0.000271
g1.g3.g7	0.000271
A_Q	0.000270
Y_I	0.000269
WV-feat	0.000266
T_F	0.000266
Y_M	0.000266
g5.g6.g1	0.000266
postivecharger.alphaticr.aromatic	0.000265
Moment	0.000264
E_Y	0.000264
P_S	0.000263
P_G	0.000263
CI-feat	0.000262
R_I	0.000261
W_D	0.000259
L_T	0.000259
HC-feat	0.000258
g2.g1.g1	0.000256
T_R	0.000256
Y_G	0.000255
LY-feat	0.000255
N_I	0.000254
Q_W	0.000254
I_Q	0.000254
C_L	0.000254
HN-feat	0.000253
FR-feat	0.000253
D_M	0.000252
YG-feat	0.000252
aromatic.aromatic.negativecharger	0.000249
Q_A	0.000248
A_F	0.000248
g6.g5.g4	0.000248
D_Q	0.000248
RQ-feat	0.000248
N_Q	0.000247
G_K	0.000247
M_Y	0.000247
I_H	0.000247
QN-feat	0.000246
G_S	0.000246
g6.g6.g3	0.000246
T_L	0.000244
Q_N	0.000244
SG-feat	0.000244
g4.g6.g6	0.000243
CS-feat	0.000241
WI-feat	0.000241
M_Q	0.000241
V_N	0.000241
g3.g1.g7	0.000240
RF-feat	0.000239
R_V	0.000238
g2.g1.g2	0.000238
DR-feat	0.000238
PF-feat	0.000237
NR-feat	0.000236
Q_H	0.000236
V_P	0.000233
CE-feat	0.000232
g2.g5.g7	0.000232
E_S	0.000232
FF-feat	0.000232
g1.g4.g3	0.000230
g4.g5.g1	0.000230
A_Y	0.000230
A_G	0.000230
KR-feat	0.000229
M_K	0.000229
P_H	0.000228
K_P	0.000227
g2.g7.g2	0.000227
H_I	0.000227
I_L	0.000226
V_Y	0.000226
GQ-feat	0.000226
I_Y	0.000224
MC-feat	0.000223
YM-feat	0.000222
WK-feat	0.000222
A_L	0.000221
g4.g3.g5	0.000221
MM-feat	0.000221
I_D	0.000221
N_D	0.000220
Y_R	0.000220
P_F	0.000220
DT-feat	0.000219
SM-feat	0.000218
H_Q	0.000218
M_A	0.000217
g6.g1.g7	0.000217
A_S	0.000216
V_Q	0.000215
MT-feat	0.000214
RA-feat	0.000213
A_K	0.000212
PL-feat	0.000212
g3.g1.g6	0.000211
R_T	0.000209
F_T	0.000208
D_P	0.000208
Y_V	0.000208
g2.g7.g6	0.000208
